word,count
,108859
Vacation,36388
Traveling,19502
Music,15505
Sports,15031
Eating,11424
Party,10719
Amusement,9880
Spa,8077
Relax,8077
photography,6559
poetry,6559
blogging,4907
exercise,4401
Camping,3936
Movie,3747
dance,3473
adventure,2845
Others,2637
NotCategorized,2637
football,2611
Cycling,2358
Biking,2040
Watching,1710
driving,1546
shooting,1437
Sailing,1243
Swim,1218
painting,1133
reading,1096
hunting,1034
guitar,959
gardening,941
Cooking,916
hiking,853
Baseball,743
crafting,743
Boating,645
Listen,591
Bowling,526
kayak,512
jumping,507
fishing,370
wildlife,317
trekking,310
television,280
cricket,276
hobby,249
concerts,189
gymnastics,164
Skateboarding,163
Diving,142
Water,121
Scuba,113
rafting,106
Zumba,100
Snorkel,52
archery,46
Out,44
Work,44
Sky,29
Solving,28
Puzzle,28
Climbing,23
Rock,23
Surfing,20
paragliding,16
tennis,13
Lawn,13
parasailing,10
scrapbooking,7
Horse,4
